DATE,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
1997-10-12,1.10148,1.21686,179.0,,157.0,205.0,,29.0,570.0,192.0,46842.0
1997-10-19,1.20007,1.28064,199.0,,151.0,242.0,,23.0,615.0,191.0,48023.0
1997-10-26,1.37876,1.23906,228.0,,153.0,266.0,,34.0,681.0,219.0,54961.0
1997-11-02,1.1992,1.14473,188.0,,193.0,236.0,,36.0,653.0,213.0,57044.0
1997-11-09,1.65618,1.26112,217.0,,162.0,280.0,,41.0,700.0,213.0,55506.0
1997-11-16,1.41326,1.28275,178.0,,148.0,281.0,,48.0,655.0,195.0,51062.0
1997-11-23,1.9868,1.44579,294.0,,240.0,328.0,,70.0,932.0,248.0,64463.0
1997-11-30,2.44749,1.64796,288.0,,293.0,456.0,,63.0,1100.0,256.0,66749.0
1997-12-07,1.73901,1.67517,268.0,,206.0,343.0,,69.0,886.0,252.0,52890.0
1997-12-14,1.93919,1.61739,299.0,,282.0,415.0,,102.0,1098.0,253.0,67887.0
1997-12-21,2.28166,1.76632,346.0,,268.0,388.0,,81.0,1083.0,242.0,61314.0
1997-12-28,2.50761,2.10398,348.0,,235.0,362.0,,59.0,1004.0,190.0,47719.0
1998-01-04,4.11352,3.13655,510.0,,404.0,492.0,,113.0,1519.0,251.0,48429.0
1998-01-11,5.62372,3.7185,579.0,,584.0,576.0,,207.0,1946.0,250.0,52333.0
1998-01-18,4.19434,3.68922,690.0,,654.0,1121.0,,148.0,2613.0,255.0,70828.0
1998-01-25,5.42123,4.60396,856.0,,679.0,1440.0,,151.0,3126.0,245.0,67898.0
1998-02-01,5.66137,4.91007,824.0,,817.0,1600.0,,196.0,3437.0,245.0,69999.0
1998-02-08,5.97802,4.82687,881.0,,769.0,1471.0,,233.0,3354.0,239.0,69486.0
1998-02-15,4.7358,3.9459,699.0,,671.0,1101.0,,146.0,2617.0,234.0,66322.0
1998-02-22,3.44581,3.1081,457.0,,523.0,849.0,,119.0,1948.0,223.0,62675.0
1998-03-01,2.47799,2.13953,313.0,,330.0,534.0,,112.0,1289.0,217.0,60247.0
1998-03-08,1.65732,1.43954,241.0,,214.0,308.0,,64.0,827.0,211.0,57449.0
1998-03-15,1.96952,1.47879,201.0,,183.0,305.0,,59.0,748.0,208.0,50582.0
1998-03-22,1.58545,1.08556,162.0,,123.0,249.0,,51.0,585.0,200.0,53889.0
1998-03-29,1.80474,0.997967,156.0,,93.0,196.0,,41.0,486.0,177.0,48699.0
1998-04-05,1.04624,0.744205,90.0,,92.0,144.0,,32.0,358.0,182.0,48105.0
1998-04-12,1.4004,0.856631,82.0,,93.0,152.0,,41.0,368.0,170.0,42959.0
1998-04-19,0.79687,0.621737,64.0,,73.0,106.0,,19.0,262.0,156.0,42140.0
1998-04-26,0.717097,0.670954,82.0,,68.0,100.0,,15.0,265.0,155.0,39496.0
1998-05-03,1.00238,0.694082,58.0,,61.0,120.0,,27.0,266.0,148.0,38324.0
1998-05-10,0.908403,0.583457,39.0,,64.0,93.0,,13.0,209.0,136.0,35821.0
1998-05-17,0.443014,0.57764,79.0,,37.0,61.0,,9.0,186.0,131.0,32200.0
1998-05-24,0.638986,0.605216,54.0,,40.0,52.0,,19.0,165.0,120.0,27263.0
1998-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-06-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-06-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-06-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-07-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-07-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-08-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-08-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-08-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-08-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-08-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-09-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-09-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-09-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
