1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,country
1.9,2.2,2.3,2.3,2.3,2.3,2.6,2.6,2.5,2.8,2.2,1.3,0.8,1.5,2.4,2.9,3.2,2.3,2.6,3.2,3.5,3.9,4.3,5.6,7.2,8.1,8.9,10.7,12.9,12.0,11.9,12.9,12.3,12.8,13.2,11.4,11.9,13.1,15.2,15.4,15.2,18.0,19.1,23.0,25.3,26.4,27.8,29.5,31.4,Albania
42.3,44.4,44.8,47.5,51.5,61.1,61.5,63.3,51.7,52.6,61.9,46.7,49.2,51.0,42.4,42.1,46.9,48.2,48.2,48.8,54.7,54.7,56.8,67.9,85.3,103.2,117.0,135.0,171.0,137.2,161.2,200.0,209.1,209.8,213.8,166.0,160.0,167.5,174.9,171.7,145.7,163.1,195.1,224.1,239.2,247.7,255.3,259.3,262.8,Algeria
6.6,6.2,6.2,6.5,6.9,8.5,7.9,9.0,9.8,11.4,12.6,12.2,9.4,6.8,5.0,6.2,8.0,9.4,8.0,7.5,11.2,10.9,15.3,17.8,23.6,37.0,52.4,65.3,88.5,70.3,83.8,111.8,128.1,136.7,145.7,116.2,101.1,122.0,101.4,84.5,57.1,74.9,122.8,93.8,92.9,96.9,100.8,106.4,111.8,Angola
0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.8,0.8,0.8,0.9,0.9,1.0,1.2,1.3,1.4,1.2,1.1,1.1,1.2,1.2,1.2,1.3,1.4,1.5,1.6,1.7,1.4,1.6,1.8,1.9,2.1,2.3,2.4,2.5,2.6,Antigua and Barbuda
233.7,189.8,94.2,116.3,130.5,98.6,118.6,121.6,142.4,91.4,158.0,212.0,255.8,264.4,287.8,288.5,304.3,327.4,334.2,317.0,317.8,300.4,112.5,142.4,164.9,199.3,232.9,287.9,363.5,334.6,424.7,527.6,579.7,611.5,563.6,642.5,556.8,643.9,524.4,451.8,389.1,487.4,630.6,621.8,632.6,635.9,660.3,695.3,728.1,Argentina
163.0,188.4,187.1,179.5,197.2,174.4,181.5,213.1,271.1,308.4,324.1,324.5,318.1,309.3,353.4,379.1,424.7,426.4,381.4,411.7,400.0,377.8,425.3,541.1,658.6,735.9,782.8,949.5,1056.5,1000.8,1254.5,1515.1,1569.4,1519.0,1456.6,1233.1,1263.5,1381.7,1417.1,1385.5,1360.8,1645.3,1702.6,1687.7,1685.7,1780.9,1870.8,1961.0,2053.6,Australia
80.9,70.1,70.1,71.0,67.0,68.6,97.4,121.8,133.6,133.3,166.9,174.4,195.5,190.4,204.0,241.2,237.3,213.0,218.6,217.5,197.4,197.5,214.2,262.2,301.3,316.3,336.3,389.2,432.0,401.3,392.6,431.6,409.7,430.2,442.7,382.0,395.7,417.1,455.2,444.7,434.9,480.7,471.0,526.2,552.3,579.0,602.8,623.8,641.6,Austria
2.6,2.7,3.0,3.4,3.6,3.9,4.2,4.7,4.9,5.5,5.2,5.1,5.1,5.1,5.4,5.7,6.0,6.3,6.8,7.7,8.1,8.3,8.9,8.9,9.1,9.8,10.2,10.6,10.5,10.0,10.1,10.1,10.7,10.4,11.0,11.7,11.8,12.3,12.7,13.1,9.8,11.5,12.9,13.9,14.5,15.1,15.6,16.1,16.7,"Bahamas, The"
3.6,4.1,4.3,4.4,4.5,4.3,3.3,3.6,4.5,4.7,5.0,5.2,5.4,6.0,6.4,6.8,7.1,7.3,7.0,7.6,9.1,9.2,9.6,11.1,13.2,16.0,18.5,21.7,25.7,22.9,25.7,28.8,30.7,32.5,33.4,31.1,32.2,35.5,37.8,38.7,34.6,39.3,44.4,45.0,47.1,49.1,51.2,53.4,55.7,Bahrain
24.8,26.4,24.7,23.9,26.8,28.8,29.6,32.4,34.9,38.1,41.1,42.5,43.3,43.7,46.4,51.8,55.4,57.6,59.9,61.5,63.5,64.7,66.2,71.9,78.0,82.6,86.0,95.4,109.8,122.8,138.1,154.1,159.7,179.7,207.1,233.7,265.2,293.8,321.4,351.2,373.9,416.3,460.2,446.3,455.2,511.8,576.5,651.7,734.6,Bangladesh
