Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2018,2019,2020,2021,2022,2023,2024,2025,Estimates Start After
Afghanistan,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",1.189,3.912,-2.351,n/a,n/a,n/a,n/a,n/a,2019
Albania,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.071,2.174,-3.311,5.3,4.5,4.1,3.7,3.486,2020
Algeria,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",1.2,0.8,-4.9,3.41,1.947,1.706,0.814,0.122,2019
Andorra,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",1.589,2.017,-11.969,5.5,4.8,2.7,2.222,1.54,2020
Angola,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-2.045,-0.535,-5.385,-0.655,2.364,3.328,3.657,3.812,2020
Antigua and Barbuda,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",6.95,4.747,-20.031,0.965,7.019,5.583,4.396,3.352,2019
Argentina,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",-2.565,-2.088,-9.905,7.5,2.465,2,1.799,1.751,2020
Armenia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.225,7.631,-7.353,6.461,4.543,4.4,4.1,4,2020
Aruba,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",1.279,-2.1,-22.32,12.781,7.484,6.2,2.514,1.558,2020
Australia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.848,1.912,-2.351,3.544,4.138,2.566,2.608,2.643,2020
Austria,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.58,1.419,-6.179,3.918,4.5,2.1,2,2,2019
