2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,country
5.09,5.09,5.18,5.26,5.33,5.32,5.44,5.32,5.35,5.42,5.43,5.43,5.45,5.29,5.24,5.23,5.22,5.25,5.12,5.07,5.2,Algeria
4.09,4.06,4.18,4.47,4.72,4.76,4.93,4.8,4.84,4.97,5.05,5.1,5.15,5.01,4.88,4.99,4.8,4.71,4.41,4.47,4.84,Angola
5.61,5.66,5.68,5.77,5.86,5.9,6.02,6.0,6.1,6.17,6.22,6.25,6.19,6.33,6.2,6.27,6.07,5.98,5.87,5.91,6.1,Argentina
6.63,6.69,6.75,6.77,6.78,6.82,6.84,6.84,6.93,6.98,6.99,6.96,6.92,6.83,6.83,6.85,6.83,6.84,6.83,6.85,6.86,Australia
6.1,6.13,6.15,6.12,6.14,6.14,6.15,6.14,6.03,6.01,5.95,5.98,6.0,5.93,5.94,5.93,5.96,5.97,5.96,5.9,5.87,Austria
2.87,2.74,2.7,2.72,2.79,2.74,2.69,2.69,2.6,2.51,2.47,2.49,2.51,2.55,2.54,2.52,2.51,2.6,2.5,2.36,2.48,Barbados
3.59,3.46,3.42,3.43,3.56,3.54,3.65,3.74,3.73,3.78,3.85,3.95,4.02,4.05,4.05,4.08,4.1,4.16,4.08,4.0,4.06,Bolivia
3.29,3.39,3.43,3.45,3.44,3.36,3.31,3.32,3.39,3.42,3.33,3.35,3.43,3.36,3.42,3.43,3.43,3.47,3.38,3.4,3.46,Botswana
2.99,3.04,3.06,3.09,3.13,3.11,3.21,3.26,3.22,3.25,3.25,3.31,3.35,3.26,3.29,3.33,3.38,3.45,3.53,3.44,3.41,Burkina Faso
1.86,1.66,1.68,1.77,1.87,1.79,1.85,1.98,1.98,1.94,1.94,2.0,2.09,2.23,2.16,2.18,2.11,2.17,2.18,2.07,2.2,Burundi
1.71,1.8,1.81,1.77,1.87,1.94,2.01,2.01,1.9,1.88,1.79,1.85,1.87,1.79,1.8,1.81,1.81,1.94,1.8,1.7,1.79,Cabo Verde
1.99,1.98,1.96,1.95,2.02,1.98,2.03,2.1,2.02,2.01,2.0,1.71,1.82,1.76,1.79,1.85,1.89,1.95,1.98,1.87,1.84,Central African Republic
5.5,5.34,5.41,5.52,5.58,5.65,5.71,5.72,5.79,5.82,5.87,5.89,5.89,5.73,5.68,5.71,5.72,5.73,5.6,5.58,5.63,Colombia
3.66,3.54,3.55,3.65,3.78,3.8,3.89,3.78,3.83,3.85,3.93,4.04,4.13,4.2,4.13,4.12,4.23,4.32,4.29,4.26,4.36,"Congo, Dem. Rep. of the"
2.93,2.89,3.01,3.15,3.29,3.22,3.37,3.29,3.42,3.45,3.51,3.53,3.54,3.26,3.17,3.19,3.32,3.34,3.18,3.14,3.17,"Congo, Republic of "
4.15,4.04,4.0,4.0,4.08,4.08,4.12,4.17,4.23,4.23,4.27,4.34,4.36,4.46,4.47,4.45,4.43,4.5,4.48,4.35,4.39,Costa Rica
3.87,3.91,3.95,3.94,3.99,4.0,4.05,4.04,3.94,3.89,3.78,3.75,3.74,3.66,3.67,3.7,3.75,3.81,3.78,3.72,3.72,Cyprus
5.96,5.99,6.01,5.98,6.01,5.98,5.99,5.97,5.88,5.84,5.77,5.81,5.83,5.75,5.75,5.76,5.77,5.78,5.8,5.77,5.75,Denmark
1.17,1.02,0.98,0.91,0.97,0.89,0.89,0.99,0.89,0.79,0.73,0.76,0.82,0.89,0.9,0.79,0.8,0.95,0.8,0.69,0.79,Dominica
4.56,4.52,4.52,4.56,4.63,4.57,4.65,4.71,4.7,4.7,4.76,4.82,4.87,4.89,4.87,4.87,4.85,4.89,4.83,4.74,4.79,Ecuador
5.44,5.27,5.15,5.19,5.3,5.33,5.44,5.6,5.62,5.58,5.69,5.71,5.76,5.86,5.84,5.53,5.54,5.71,5.86,5.8,5.88,Egypt
5.78,5.81,5.82,5.79,5.8,5.82,5.83,5.79,5.69,5.67,5.59,5.63,5.64,5.55,5.55,5.56,5.57,5.59,5.6,5.53,5.48,Finland
7.59,7.64,7.65,7.62,7.61,7.61,7.62,7.6,7.51,7.48,7.41,7.43,7.44,7.36,7.35,7.34,7.35,7.35,7.34,7.3,7.24,France
7.84,7.87,7.87,7.82,7.81,7.81,7.81,7.78,7.7,7.69,7.62,7.65,7.67,7.6,7.61,7.61,7.63,7.62,7.63,7.59,7.53,Germany
4.03,4.05,4.07,4.15,4.26,4.26,4.3,4.26,4.34,4.4,4.42,4.51,4.39,4.36,4.43,4.44,4.49,4.54,4.56,4.52,4.44,Ghana
2.34,2.2,2.14,2.1,2.18,2.17,2.19,2.27,2.25,2.25,2.37,2.4,2.41,2.48,2.48,2.49,2.46,2.58,2.62,2.71,3.2,Guyana
3.58,3.47,3.43,3.44,3.52,3.48,3.51,3.6,3.56,3.54,3.55,3.55,3.62,3.7,3.7,3.71,3.7,3.78,3.74,3.72,3.8,Honduras
5.22,5.27,5.33,5.33,5.32,5.35,5.38,5.28,5.2,5.15,5.05,5.09,5.13,5.07,5.07,5.11,5.16,5.21,5.18,5.15,5.14,Hungary
6.78,6.79,6.82,6.87,6.93,7.03,6.95,7.08,7.17,7.13,7.11,7.11,7.18,7.24,7.29,7.36,7.33,7.38,7.35,7.35,7.39,India
5.74,5.75,5.79,5.87,5.98,6.08,6.14,6.21,6.25,6.3,5.97,5.98,6.03,5.98,6.05,6.05,5.72,5.51,5.35,5.51,5.64,Iran
5.69,5.6,5.56,5.53,5.56,5.56,5.63,5.65,5.65,5.64,5.61,5.7,5.74,5.75,5.77,5.81,5.81,5.89,5.92,5.92,5.96,Israel
3.74,3.57,3.54,3.55,3.58,3.52,3.5,3.45,3.42,3.39,3.37,3.35,3.34,3.4,3.37,3.36,3.37,3.43,3.33,3.21,3.32,Jamaica
8.37,8.33,8.29,8.22,8.14,8.03,8.05,8.12,8.1,8.08,8.06,7.91,7.85,7.82,7.89,7.83,7.81,7.83,7.83,7.71,7.56,Japan
3.76,3.66,3.65,3.67,3.8,3.77,3.88,4.0,3.98,3.94,3.97,4.04,4.1,4.17,4.17,4.16,4.15,4.22,4.2,4.08,4.11,Jordan
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kiribati
6.92,6.89,6.89,6.96,7.01,6.98,6.83,6.8,6.86,6.84,6.83,6.88,6.93,6.96,6.96,6.98,6.98,6.97,6.98,6.93,6.85,"Korea, Republic of"
4.34,4.38,4.47,4.68,4.82,4.8,4.92,4.69,4.76,4.32,4.8,4.64,4.44,4.35,4.34,4.53,4.59,4.55,4.26,3.89,3.94,Libya
4.42,4.46,4.49,4.48,4.56,4.58,4.62,4.61,4.54,4.51,4.46,4.53,4.57,4.51,4.51,4.51,4.53,4.56,4.6,4.57,4.53,Luxembourg
